jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Abdul-Rahim,Iraq,1986,11,Delantero,3,0,0,0,0,0.00,0,0,0,0,3,23
Baba Rahman,Ghana,2022,17,Defensor,3,2,0,0,0,0.00,0,0,1,0,2,24
Abdulaziz Al Anbari,Kuwait,1982,10,Delantero,3,3,0,0,0,0.00,1,0,0,1,2,21
Abdulaziz Al Balushi,Kuwait,1982,8,Mediocampista,3,3,0,0,1,0.33,0,0,0,1,2,21
Abdulaziz Al Janoubi,Arabia Saudita,1998,19,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,28
Abdulaziz Khathran,Arabia Saudita,2002,14,Mediocampista,3,2,0,0,0,0.00,0,0,0,0,3,32
Abdulaziz Khathran,Arabia Saudita,2006,12,Defensor,2,1,0,1,0,0.00,0,0,0,0,2,28
Abdulaziz Mohamed,Emiratos Arabes,1990,9,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,24
Abdulaziz Mohammed,Kuwait,1982,20,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,21
Abdulelah Al-Amri,Arabia Saudita,2022,4,Defensor,3,2,0,0,0,0.00,2,0,1,0,2,25
Abdulelah Al-Malki,Arabia Saudita,2022,8,Mediocampista,2,2,0,1,0,0.00,2,0,1,0,1,25
Abdullah Al Dosari,Arabia Saudita,1994,2,Defensor,2,1,0,2,0,0.00,1,0,1,0,1,12
Abdullah Al-Khaibari,Arabia Saudita,2018,15,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,26
Abdullah Al-Mayouf,Arabia Saudita,2018,1,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,26
Abdullah Alwaked Al Shahrani,Arabia Saudita,2002,17,Mediocampista,2,2,0,1,0,0.00,0,0,0,0,2,32
Abdullah Ercan,Turquía,2002,19,Mediocampista,0,0,0,7,0,0.00,0,0,0,0,0,3
Abdullah Gaman Al Dosari,Arabia Saudita,2002,15,Delantero,3,0,0,0,0,0.00,0,0,0,0,3,32
Abdullah Madu,Arabia Saudita,2022,3,Defensor,1,0,0,2,0,0.00,1,0,0,0,1,25
Abdullah Mayuf,Kuwait,1982,14,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,21
