jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Alberto Fouilloux,Chile,,22 de noviembre de 1940,Mediocampista,"10, 8","1962, 1966"
Alberto Galateo,Argentina,,1 de enero de 1913,Delantero,-,1934
Alberto Gallardo,Perú,,28 de noviembre de 1940,Delantero,11,1970
Alberto Garcia Aspe,México,1.74 m,11 de mayo de 1967,Mediocampista,8,"1994, 1998, 2002"
Alberto Gilardino,Italia,1.84 m,5 de julio de 1982,Delantero,11,"2006, 2010"
Alberto Gomez,Uruguay,,10 de junio de 1944,Delantero,18,1970
Alberto Gonzalez,Paraguay,,1 de enero de 1922,Defensor,-,1950
Alberto Gonzalez,Argentina,,21 de agosto de 1941,Delantero,"22, 16","1962, 1966"
Alberto Gorriz,España,,16 de febrero de 1958,Defensor,14,1990
Alberto Rodríguez,Perú,1.83 m,31 de marzo de 1984,Defensor,2,2018
Alberto Mariotti,Argentina,,28 de marzo de 1935,Defensor,14,1962
Alberto Medina,México,1.72 m,29 de mayo de 1983,Delantero,22,2010
Alberto Quintano,Chile,,26 de abril de 1946,Defensor,3,1974
Alberto Rodriguez,México,1.68 m,1 de abril de 1974,Defensor,22,2002
Alberto Sainz,Argentina,,13 de diciembre de 1937,Defensor,4,1962
Alberto Soria,Perú,,24 de enero de 1900,Defensor,-,1930
Alberto Tarantini,Argentina,,3 de diciembre de 1955,Defensor,"20, 18","1978, 1982"
Alberto Valentini,Chile,,25 de noviembre de 1938,Defensor,20,1966
Alberto Villalta,El Salvador,,19 de noviembre de 1947,Mediocampista,22,1970
Albin Ekdal,Suecia,1.86 m,28 de julio de 1989,Mediocampista,8,2018
Albin Kitzinger,Alemania,,1 de febrero de 1912,Mediocampista,-,1938
Alcides Ghiggia,Uruguay,,22 de diciembre de 1926,Delantero,-,1950
Alcindo,Brasil,,16 de diciembre de 1945,Delantero,18,1966
Aldair,Brasil,,30 de noviembre de 1965,Defensor,"14, 13, 3","1990, 1994, 1998"
Aldo Bobadilla,Paraguay,1.92 m,20 de abril de 1976,Arquero,22,"2006, 2010"
Aldo Campatelli,Italia,,7 de abril de 1919,Mediocampista,-,1950
Aldo Corzo,Perú,1.72 m,20 de mayo de 1989,Defensor,3,2018
Aldo Donati,Italia,,29 de septiembre de 1910,Mediocampista,-,1938
Aldo Donelli,Estados Unidos,,22 de julio de 1907,Delantero,-,1934
Aldo Maldera,Italia,,14 de octubre de 1953,Defensor,6,1978
Aldo Olivieri,Italia,,2 de octubre de 1910,Arquero,-,1938
Aldo Poy,Argentina,,14 de septiembre de 1945,Delantero,15,1974
Aldo Serena,Italia,,25 de junio de 1960,Delantero,"21, 20","1986, 1990"
Alejandro Balde,España,1.75 m,18 de octubre de 2003,Defensor,14,2022
Alejandro Bedoya,Estados Unidos,1.78 m,29 de abril de 1987,Mediocampista,11,2014
Alejandro Dominguez,México,,9 de noviembre de 1961,Mediocampista,8,1986
Alejandro Gomez,Argentina,1.67 m,15 de febrero de 1988,Mediocampista,17,2022
Alejandro Lembo,Uruguay,1.78 m,15 de febrero de 1978,Defensor,3,2002
Alejandro Mancuso,Argentina,,4 de septiembre de 1968,Mediocampista,21,1994
Alejandro Scopelli,Argentina,,12 de mayo de 1908,Delantero,-,1930
Alejandro Villanueva,Perú,,4 de junio de 1908,Delantero,-,1930
Alekos Alexandris,Grecia,,21 de octubre de 1968,Delantero,21,1994
Aleksandar Atanackovic,Yugoslavia,,29 de abril de 1920,Delantero,-,1950
Aleksandar Ivos,Yugoslavia,,28 de junio de 1931,Mediocampista,22,1962
Aleksandar Kolarov,Serbia,1.87 m,10 de noviembre de 1985,Defensor,"3, 11","2010, 2018"
Aleksandar Kostov,Bulgaria,,5 de marzo de 1938,"Delantero, Mediocampista",16,"1962, 1966"
Aleksandar Lukovic,Serbia,1.84 m,23 de octubre de 1982,Defensor,13,2010
Aleksandar Markov,Bulgaria,,17 de agosto de 1961,Defensor,13,1986
Aleksandar Mitrović,Serbia,1.89 m,16 de septiembre de 1994,Delantero,9,"2018, 2022"
Aleksandar Petakovic,Yugoslavia,,6 de febrero de 1930,Delantero,"22, 12","1954, 1958"
Aleksandar Prijović,Serbia,1.91 m,21 de abril de 1990,Delantero,8,2018
Aleksandar Radosavljevic,Eslovenia,1.81 m,25 de abril de 1979,Mediocampista,18,2010
Aleksandar Shalamanov,Bulgaria,,4 de septiembre de 1941,Defensor,2,"1966, 1970"
Aleksandar Tirnanic,Yugoslavia,,15 de julio de 1911,Delantero,-,1930
Aleksander Knavs,Eslovenia,1.90 m,5 de diciembre de 1975,Defensor,6,2002
