id_goleador,anio,id_seleccion,id_jugador,goles,partidos,promedio
769,1990,22,2004,1,4,0.25
770,1990,34,4938,1,4,0.25
771,1990,60,6409,1,4,0.25
772,1990,86,470,1,5,0.2
773,1990,21,6974,1,2,0.5
774,1990,31,2351,1,3,0.33
775,1990,34,4959,1,3,0.33
776,1990,30,7956,1,3,0.33
777,1990,30,7958,1,2,0.5
778,1990,60,6427,1,4,0.25
779,1990,60,6431,1,4,0.25
780,1990,86,515,1,4,0.25
781,1990,14,914,1,4,0.25
782,1990,87,6202,1,6,0.17
783,1990,86,522,1,1,1.0
784,1990,31,2373,1,3,0.33
785,1990,22,2023,1,3,0.33
786,1990,6,5325,1,4,0.25
787,1990,35,2853,1,3,0.33
788,1990,8,4616,1,3,0.33
789,1990,14,961,1,5,0.2
790,1990,85,3705,1,3,0.33
791,1990,88,377,1,3,0.33
792,1990,46,7481,1,4,0.25
793,1990,19,2714,1,4,0.25
794,1990,8,4635,1,2,0.5
795,1990,13,6690,1,4,0.25
796,1990,51,5764,1,3,0.33
797,1990,46,7483,1,5,0.2
798,1990,73,3513,1,3,0.33
799,1990,85,3745,1,5,0.2
800,1990,6,5425,1,6,0.17
801,1990,19,2725,1,4,0.25
802,1990,13,6749,1,3,0.33
803,1990,44,1436,1,6,0.17
804,1990,88,427,1,3,0.33
805,1990,88,431,1,2,0.5
806,1994,69,385,6,3,2.0
807,1994,12,3001,6,7,0.86
808,1994,73,3343,5,7,0.71
809,1994,51,5533,5,7,0.71
810,1994,1,6174,5,5,1.0
811,1994,11,1791,5,7,0.71
812,1994,6,5181,4,4,1.0
813,1994,73,3371,4,5,0.8
814,1994,68,1933,4,4,1.0
815,1994,11,1551,3,7,0.43
816,1994,60,6362,3,5,0.6
817,1994,73,3366,3,7,0.43
818,1994,34,4884,3,4,0.75
819,1994,68,1891,3,5,0.6
820,1994,13,6543,2,3,0.67
821,1994,4,4818,2,3,0.67
822,1994,57,4456,2,4,0.5
823,1994,57,4457,2,4,0.5
824,1994,51,5532,2,7,0.29
825,1994,6,5208,2,3,0.67
826,1994,68,1883,2,5,0.4
827,1994,56,7727,2,4,0.5
828,1994,34,4933,2,5,0.4
829,1994,21,6972,2,3,0.67
830,1994,60,6425,2,5,0.4
831,1994,74,8130,2,3,0.67
832,1994,12,2968,2,7,0.29
833,1994,19,2727,2,3,0.67
834,1994,1,6306,2,3,0.67
835,1994,4,4763,1,2,0.5
836,1994,4,4768,1,2,0.5
837,1994,4,4776,1,4,0.25
838,1994,46,7441,1,3,0.33
839,1994,6,5172,1,4,0.25
840,1994,34,4876,1,1,1.0
841,1994,56,7658,1,4,0.25
842,1994,12,2919,1,4,0.25
843,1994,11,1559,1,3,0.33
844,1994,74,8057,1,4,0.25
845,1994,55,8327,1,2,0.5
846,1994,74,8066,1,4,0.25
847,1994,13,6591,1,3,0.33
848,1994,14,888,1,3,0.33
849,1994,56,7729,1,3,0.33
850,1994,19,2669,1,2,0.5
851,1994,57,4483,1,4,0.25
852,1994,13,6627,1,3,0.33
853,1994,34,4940,1,2,0.5
854,1994,34,4945,1,5,0.2
855,1994,46,7457,1,4,0.25
856,1994,21,6978,1,3,0.33
857,1994,34,4959,1,4,0.25
